Id	Count
ENSMUSG00000001247	371
ENSMUSG00000001248	1992
ENSMUSG00000001249	20
ENSMUSG00000001260	5
ENSMUSG00000001270	11157
ENSMUSG00000001280	5182
ENSMUSG00000001281	419
ENSMUSG00000001285	896
ENSMUSG00000001288	4345
ENSMUSG00000001289	4657
ENSMUSG00000001300	1378
ENSMUSG00000001305	318
ENSMUSG00000001313	1432
ENSMUSG00000001323	3504
ENSMUSG00000001333	349
ENSMUSG00000001334	971
ENSMUSG00000001348	770
ENSMUSG00000001349	330
ENSMUSG00000001366	1294
ENSMUSG00000001376	1851
ENSMUSG00000001380	1989
ENSMUSG00000001383	2675
ENSMUSG00000001403	226
ENSMUSG00000001415	3302
ENSMUSG00000001416	4538
ENSMUSG00000001418	3408
ENSMUSG00000001419	2580
ENSMUSG00000001420	196
ENSMUSG00000001424	5659
ENSMUSG00000001435	8256
ENSMUSG00000001436	3858
ENSMUSG00000001440	12750
ENSMUSG00000001441	4374
ENSMUSG00000001444	2
ENSMUSG00000001445	2071
ENSMUSG00000001467	32781
ENSMUSG00000001472	11090
ENSMUSG00000001473	2129
ENSMUSG00000001482	2260
ENSMUSG00000001493	1021
ENSMUSG00000001494	1
ENSMUSG00000001496	0
ENSMUSG00000001497	252
ENSMUSG00000001504	0
ENSMUSG00000001506	297115
ENSMUSG00000001507	1120
ENSMUSG00000001508	37
ENSMUSG00000001510	0
ENSMUSG00000001517	353
ENSMUSG00000001518	496
ENSMUSG00000001520	1487
ENSMUSG00000001521	1953
ENSMUSG00000001524	418
ENSMUSG00000001525	24931
ENSMUSG00000001542	1872
ENSMUSG00000001552	5125
ENSMUSG00000001555	3759
ENSMUSG00000001558	19
ENSMUSG00000001566	0
ENSMUSG00000001569	1144
ENSMUSG00000001576	4066
ENSMUSG00000001583	53
ENSMUSG00000001588	156
ENSMUSG00000001604	237
ENSMUSG00000001622	0
ENSMUSG00000001627	2540
ENSMUSG00000001630	869
ENSMUSG00000001632	1223
ENSMUSG00000001642	2374
ENSMUSG00000001655	2
