Id	Count
ENSMUSG00000000001	7242
ENSMUSG00000000003	0
ENSMUSG00000000028	206
ENSMUSG00000000031	63087
ENSMUSG00000000037	105
ENSMUSG00000000049	269
ENSMUSG00000000056	1782
ENSMUSG00000000058	7810
ENSMUSG00000000078	6205
ENSMUSG00000000085	1480
ENSMUSG00000000088	1956
ENSMUSG00000000093	1147
ENSMUSG00000000094	17
ENSMUSG00000000103	0
ENSMUSG00000000120	2560
ENSMUSG00000000125	1
ENSMUSG00000000126	469
ENSMUSG00000000127	1954
ENSMUSG00000000131	3089
ENSMUSG00000000134	2884
ENSMUSG00000000142	658
ENSMUSG00000000148	1115
ENSMUSG00000000149	15526
ENSMUSG00000000154	63
ENSMUSG00000000157	5
ENSMUSG00000000159	332
ENSMUSG00000000167	56
ENSMUSG00000000168	2180
ENSMUSG00000000171	3521
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	3399
ENSMUSG00000000194	3912
ENSMUSG00000000197	314
ENSMUSG00000000202	690
ENSMUSG00000000204	28
ENSMUSG00000000214	6
ENSMUSG00000000215	4
ENSMUSG00000000216	4
ENSMUSG00000000223	109181
ENSMUSG00000000244	120
ENSMUSG00000000247	1
ENSMUSG00000000248	12
ENSMUSG00000000253	94
ENSMUSG00000000263	6
ENSMUSG00000000266	2466
ENSMUSG00000000275	1168
ENSMUSG00000000276	1190
ENSMUSG00000000278	3230
ENSMUSG00000000282	932
ENSMUSG00000000290	394
ENSMUSG00000000295	202
ENSMUSG00000000296	534
ENSMUSG00000000301	173
ENSMUSG00000000303	10839
ENSMUSG00000000305	183
ENSMUSG00000000308	48
ENSMUSG00000000317	379
ENSMUSG00000000318	733
ENSMUSG00000000320	30
ENSMUSG00000000325	5910
ENSMUSG00000000326	4167
ENSMUSG00000000339	1070
ENSMUSG00000000340	2194
ENSMUSG00000000346	9272
ENSMUSG00000000355	812
ENSMUSG00000000359	334
ENSMUSG00000000365	15
ENSMUSG00000000374	3070
ENSMUSG00000000378	1318
ENSMUSG00000000381	0
ENSMUSG00000000384	804
ENSMUSG00000000385	1
ENSMUSG00000000386	14
ENSMUSG00000000392	3682
ENSMUSG00000000394	6
ENSMUSG00000000399	2348
ENSMUSG00000000402	600
ENSMUSG00000000409	27
ENSMUSG00000000411	1
ENSMUSG00000000416	2477
ENSMUSG00000000420	5725
ENSMUSG00000000435	0
ENSMUSG00000000439	3113
ENSMUSG00000000440	532
ENSMUSG00000000441	4312
ENSMUSG00000000486	156
ENSMUSG00000000489	749
ENSMUSG00000000530	1575
ENSMUSG00000000531	484
ENSMUSG00000000532	1193
ENSMUSG00000000538	7300
ENSMUSG00000000544	1
ENSMUSG00000000552	719
ENSMUSG00000000555	1783
ENSMUSG00000000560	11
ENSMUSG00000000561	1936
ENSMUSG00000000562	7
ENSMUSG00000000563	7478
ENSMUSG00000000567	867
ENSMUSG00000000568	2676
ENSMUSG00000000579	530
ENSMUSG00000000581	1272
ENSMUSG00000000594	8211
ENSMUSG00000000600	1742
ENSMUSG00000000605	7159
ENSMUSG00000000606	0
ENSMUSG00000000617	0
