Id	Count
ENSMUSG00000000001	10177
ENSMUSG00000000003	0
ENSMUSG00000000028	933
ENSMUSG00000000031	66488
ENSMUSG00000000037	89
ENSMUSG00000000049	50
ENSMUSG00000000056	2147
ENSMUSG00000000058	1141
ENSMUSG00000000078	5223
ENSMUSG00000000085	2487
ENSMUSG00000000088	3418
ENSMUSG00000000093	11841
ENSMUSG00000000094	22
ENSMUSG00000000103	0
ENSMUSG00000000120	21265
ENSMUSG00000000125	0
ENSMUSG00000000126	204
ENSMUSG00000000127	1828
ENSMUSG00000000131	5002
ENSMUSG00000000134	4205
ENSMUSG00000000142	880
ENSMUSG00000000148	1927
ENSMUSG00000000149	8188
ENSMUSG00000000154	67
ENSMUSG00000000157	0
ENSMUSG00000000159	106
ENSMUSG00000000167	73
ENSMUSG00000000168	3641
ENSMUSG00000000171	5930
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	5889
ENSMUSG00000000194	5565
ENSMUSG00000000197	161
ENSMUSG00000000202	372
ENSMUSG00000000204	8
ENSMUSG00000000214	8
ENSMUSG00000000215	4
ENSMUSG00000000216	1
ENSMUSG00000000223	277
ENSMUSG00000000244	45
ENSMUSG00000000247	2
ENSMUSG00000000248	65
ENSMUSG00000000253	116
ENSMUSG00000000263	15
ENSMUSG00000000266	3672
ENSMUSG00000000275	4611
ENSMUSG00000000276	1290
ENSMUSG00000000278	4318
ENSMUSG00000000282	2030
ENSMUSG00000000290	1121
ENSMUSG00000000295	569
ENSMUSG00000000296	768
ENSMUSG00000000301	239
ENSMUSG00000000303	7416
ENSMUSG00000000305	54
ENSMUSG00000000308	35
ENSMUSG00000000317	67
ENSMUSG00000000318	204
ENSMUSG00000000320	71
ENSMUSG00000000325	5699
ENSMUSG00000000326	5027
ENSMUSG00000000339	2284
ENSMUSG00000000340	2959
ENSMUSG00000000346	11636
ENSMUSG00000000355	1617
ENSMUSG00000000359	354
ENSMUSG00000000365	48
ENSMUSG00000000374	4666
ENSMUSG00000000378	3345
ENSMUSG00000000381	1
ENSMUSG00000000384	2205
ENSMUSG00000000385	2
ENSMUSG00000000386	88
ENSMUSG00000000392	2926
ENSMUSG00000000394	117
ENSMUSG00000000399	3731
ENSMUSG00000000402	109
ENSMUSG00000000409	18
ENSMUSG00000000411	5
ENSMUSG00000000416	72
ENSMUSG00000000420	7685
ENSMUSG00000000435	0
ENSMUSG00000000439	6086
ENSMUSG00000000440	93
ENSMUSG00000000441	7971
ENSMUSG00000000486	438
ENSMUSG00000000489	525
ENSMUSG00000000530	1050
ENSMUSG00000000531	3085
ENSMUSG00000000532	1568
ENSMUSG00000000538	10987
ENSMUSG00000000544	0
ENSMUSG00000000552	912
ENSMUSG00000000555	2363
ENSMUSG00000000560	0
ENSMUSG00000000561	3315
ENSMUSG00000000562	69
ENSMUSG00000000563	11314
ENSMUSG00000000567	634
ENSMUSG00000000568	7854
ENSMUSG00000000579	3702
ENSMUSG00000000581	1843
ENSMUSG00000000594	7108
ENSMUSG00000000600	2007
ENSMUSG00000000605	7364
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	2881
ENSMUSG00000000628	427
ENSMUSG00000000631	8215
ENSMUSG00000000632	7
ENSMUSG00000000673	28
ENSMUSG00000000682	261
ENSMUSG00000000686	6875
ENSMUSG00000000690	103
ENSMUSG00000000693	4686
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	5000
ENSMUSG00000000711	5760
ENSMUSG00000000724	0
ENSMUSG00000000730	4
ENSMUSG00000000731	10
ENSMUSG00000000732	299
ENSMUSG00000000738	3137
ENSMUSG00000000739	880
ENSMUSG00000000740	1295
ENSMUSG00000000743	5621
ENSMUSG00000000751	4561
ENSMUSG00000000753	11574
ENSMUSG00000000759	2780
ENSMUSG00000000766	30
ENSMUSG00000000776	1663
ENSMUSG00000000782	773
ENSMUSG00000000787	19684
ENSMUSG00000000791	22
ENSMUSG00000000792	15
ENSMUSG00000000794	233
ENSMUSG00000000804	4421
ENSMUSG00000000805	92
ENSMUSG00000000811	635
ENSMUSG00000000817	3
ENSMUSG00000000823	4231
ENSMUSG00000000826	6752
ENSMUSG00000000827	6284
ENSMUSG00000000838	2637
ENSMUSG00000000861	10
ENSMUSG00000000869	717
ENSMUSG00000000876	2229
ENSMUSG00000000881	989
ENSMUSG00000000884	914
ENSMUSG00000000889	2
ENSMUSG00000000901	548
ENSMUSG00000000902	6358
ENSMUSG00000000903	9
ENSMUSG00000000915	2918
ENSMUSG00000000916	950
ENSMUSG00000000934	641
ENSMUSG00000000938	208
ENSMUSG00000000942	2
ENSMUSG00000000948	2180
ENSMUSG00000000957	19519
ENSMUSG00000000958	1297
ENSMUSG00000000959	7822
ENSMUSG00000000976	1388
ENSMUSG00000000982	12
ENSMUSG00000000983	6
ENSMUSG00000001014	34
ENSMUSG00000001016	6714
ENSMUSG00000001017	9132
ENSMUSG00000001018	4600
ENSMUSG00000001020	9182
ENSMUSG00000001021	42
ENSMUSG00000001023	1
ENSMUSG00000001025	18074
ENSMUSG00000001027	2
ENSMUSG00000001029	154
ENSMUSG00000001034	1906
ENSMUSG00000001036	3768
ENSMUSG00000001039	523
ENSMUSG00000001052	4571
ENSMUSG00000001053	236
ENSMUSG00000001054	2185
ENSMUSG00000001056	1961
ENSMUSG00000001062	2056
ENSMUSG00000001065	6901
ENSMUSG00000001076	0
ENSMUSG00000001082	2388
ENSMUSG00000001089	6235
ENSMUSG00000001095	0
ENSMUSG00000001098	7864
ENSMUSG00000001100	3942
ENSMUSG00000001103	1
ENSMUSG00000001105	2472
ENSMUSG00000001119	27722
ENSMUSG00000001120	1431
ENSMUSG00000001123	2331
ENSMUSG00000001127	5991
ENSMUSG00000001128	438
ENSMUSG00000001131	656
ENSMUSG00000001134	511
ENSMUSG00000001138	2020
ENSMUSG00000001143	2209
ENSMUSG00000001150	2925
ENSMUSG00000001151	2299
ENSMUSG00000001155	19
ENSMUSG00000001156	2100
ENSMUSG00000001157	1542
ENSMUSG00000001158	2427
ENSMUSG00000001166	92
ENSMUSG00000001168	0
ENSMUSG00000001173	1658
ENSMUSG00000001175	21109
ENSMUSG00000001211	9906
ENSMUSG00000001225	105
ENSMUSG00000001227	676
ENSMUSG00000001228	1755
ENSMUSG00000001229	4341
ENSMUSG00000001240	6682
ENSMUSG00000001247	377
ENSMUSG00000001248	6592
ENSMUSG00000001249	41
ENSMUSG00000001260	3
ENSMUSG00000001270	14083
ENSMUSG00000001280	6467
ENSMUSG00000001281	239
ENSMUSG00000001285	2075
ENSMUSG00000001288	3591
ENSMUSG00000001289	7652
ENSMUSG00000001300	2683
ENSMUSG00000001305	1269
ENSMUSG00000001313	2543
ENSMUSG00000001323	3264
ENSMUSG00000001333	774
ENSMUSG00000001334	595
ENSMUSG00000001348	136
ENSMUSG00000001349	70
ENSMUSG00000001366	3602
ENSMUSG00000001376	2743
ENSMUSG00000001380	4725
ENSMUSG00000001383	4966
ENSMUSG00000001403	1644
ENSMUSG00000001415	5109
ENSMUSG00000001416	12486
ENSMUSG00000001418	6087
ENSMUSG00000001419	5542
ENSMUSG00000001420	499
ENSMUSG00000001424	11350
ENSMUSG00000001435	80206
ENSMUSG00000001436	42206
ENSMUSG00000001440	18949
ENSMUSG00000001441	4584
ENSMUSG00000001444	15
ENSMUSG00000001445	3649
ENSMUSG00000001467	2426
ENSMUSG00000001472	20270
ENSMUSG00000001473	3102
ENSMUSG00000001482	3402
ENSMUSG00000001493	694
ENSMUSG00000001494	2
ENSMUSG00000001496	0
ENSMUSG00000001497	143
ENSMUSG00000001504	0
ENSMUSG00000001506	226457
ENSMUSG00000001507	239
