Id	Count
ENSMUSG00000000001	7880
ENSMUSG00000000003	0
ENSMUSG00000000028	915
ENSMUSG00000000031	44221
ENSMUSG00000000037	65
ENSMUSG00000000049	60
ENSMUSG00000000056	1068
ENSMUSG00000000058	925
ENSMUSG00000000078	2139
ENSMUSG00000000085	2095
ENSMUSG00000000088	2629
ENSMUSG00000000093	11109
ENSMUSG00000000094	4
ENSMUSG00000000103	0
ENSMUSG00000000120	24469
ENSMUSG00000000125	0
ENSMUSG00000000126	127
ENSMUSG00000000127	1098
ENSMUSG00000000131	5035
ENSMUSG00000000134	3114
ENSMUSG00000000142	656
ENSMUSG00000000148	1420
ENSMUSG00000000149	6496
ENSMUSG00000000154	54
ENSMUSG00000000157	1
ENSMUSG00000000159	54
ENSMUSG00000000167	61
ENSMUSG00000000168	2696
ENSMUSG00000000171	4883
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	2408
ENSMUSG00000000194	4161
ENSMUSG00000000197	81
ENSMUSG00000000202	497
ENSMUSG00000000204	4
ENSMUSG00000000214	2
ENSMUSG00000000215	0
ENSMUSG00000000216	1
ENSMUSG00000000223	367
ENSMUSG00000000244	29
ENSMUSG00000000247	2
ENSMUSG00000000248	40
ENSMUSG00000000253	72
ENSMUSG00000000263	15
ENSMUSG00000000266	2726
ENSMUSG00000000275	3122
ENSMUSG00000000276	1034
ENSMUSG00000000278	2875
ENSMUSG00000000282	1267
ENSMUSG00000000290	661
ENSMUSG00000000295	484
ENSMUSG00000000296	573
ENSMUSG00000000301	177
ENSMUSG00000000303	7891
ENSMUSG00000000305	42
ENSMUSG00000000308	90
ENSMUSG00000000317	39
ENSMUSG00000000318	20
ENSMUSG00000000320	55
ENSMUSG00000000325	5100
ENSMUSG00000000326	4498
ENSMUSG00000000339	2165
ENSMUSG00000000340	2161
ENSMUSG00000000346	9657
ENSMUSG00000000355	1182
ENSMUSG00000000359	416
ENSMUSG00000000365	22
ENSMUSG00000000374	4347
ENSMUSG00000000378	2772
ENSMUSG00000000381	0
ENSMUSG00000000384	2246
ENSMUSG00000000385	0
ENSMUSG00000000386	69
ENSMUSG00000000392	2288
ENSMUSG00000000394	38
ENSMUSG00000000399	2635
ENSMUSG00000000402	7
ENSMUSG00000000409	22
ENSMUSG00000000411	7
ENSMUSG00000000416	58
ENSMUSG00000000420	5481
ENSMUSG00000000435	0
ENSMUSG00000000439	5511
ENSMUSG00000000440	49
ENSMUSG00000000441	7367
ENSMUSG00000000486	392
ENSMUSG00000000489	665
ENSMUSG00000000530	1412
ENSMUSG00000000531	2486
ENSMUSG00000000532	1377
ENSMUSG00000000538	7928
ENSMUSG00000000544	0
ENSMUSG00000000552	748
ENSMUSG00000000555	2188
ENSMUSG00000000560	0
ENSMUSG00000000561	1809
ENSMUSG00000000562	22
ENSMUSG00000000563	7551
ENSMUSG00000000567	673
ENSMUSG00000000568	5942
ENSMUSG00000000579	3135
ENSMUSG00000000581	1512
ENSMUSG00000000594	5934
ENSMUSG00000000600	1237
ENSMUSG00000000605	5934
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	3883
ENSMUSG00000000628	222
ENSMUSG00000000631	6207
ENSMUSG00000000632	13
ENSMUSG00000000673	13
ENSMUSG00000000682	88
